company_id,total_pros,total_cons,signal_balance,signal_class,leverage_class,growth_class,cashflow_signal,overall_class,recommendation_score,investment_score,recommendation,risk_level,investment_priority,recommendation_reason
BANKBARODA,8,8,0,Balanced,High Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,-3,33.33,AVOID,High Risk,Low Priority,Balanced investment signals; High leverage; Moderate growth; Negative cash-flow signals
KOTAKBANK,7,8,-1,Balanced,High Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,-3,33.33,AVOID,High Risk,Low Priority,Balanced investment signals; High leverage; Moderate growth; Negative cash-flow signals
ADANIGREEN,5,6,-1,Balanced,High Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,-3,33.33,AVOID,High Risk,Low Priority,Balanced investment signals; High leverage; Moderate growth; Negative cash-flow signals
GODREJCP,5,7,-2,Negative,Low Leverage,Mixed Growth,Negative Cash Flow Signals,Negative,-7,16.67,AVOID,High Risk,Low Priority,Negative overall investment signals; Negative financial signal balance; Low leverage; Negative cash-flow signals
BHEL,5,8,-3,Negative,Low Leverage,Mixed Growth,Negative Cash Flow Signals,Negative,-7,16.67,AVOID,High Risk,Low Priority,Negative overall investment signals; Negative financial signal balance; Low leverage; Negative cash-flow signals
M&M,3,6,-3,Negative,Moderate Leverage,Moderate Growth,Negative Cash Flow Signals,Negative,-8,12.5,AVOID,High Risk,Low Priority,Negative overall investment signals; Negative financial signal balance; Moderate growth; Negative cash-flow signals
GRASIM,4,8,-4,Negative,Moderate Leverage,Moderate Growth,Negative Cash Flow Signals,Negative,-8,12.5,AVOID,High Risk,Low Priority,Negative overall investment signals; Negative financial signal balance; Moderate growth; Negative cash-flow signals
BAJFINANCE,8,10,-2,Negative,High Leverage,High Growth,Negative Cash Flow Signals,Negative,-9,8.33,AVOID,High Risk,Low Priority,Negative overall investment signals; Negative financial signal balance; High leverage; High growth; Negative cash-flow signals
CHOLAFIN,8,10,-2,Negative,High Leverage,High Growth,Negative Cash Flow Signals,Negative,-9,8.33,AVOID,High Risk,Low Priority,Negative overall investment signals; Negative financial signal balance; High leverage; High growth; Negative cash-flow signals
BAJAJFINSV,7,10,-3,Negative,High Leverage,High Growth,Negative Cash Flow Signals,Negative,-9,8.33,AVOID,High Risk,Low Priority,Negative overall investment signals; Negative financial signal balance; High leverage; High growth; Negative cash-flow signals
SHRIRAMFIN,6,9,-3,Negative,High Leverage,High Growth,Negative Cash Flow Signals,Negative,-9,8.33,AVOID,High Risk,Low Priority,Negative overall investment signals; Negative financial signal balance; High leverage; High growth; Negative cash-flow signals
ADANIENSOL,4,6,-2,Negative,High Leverage,Moderate Growth,Negative Cash Flow Signals,Negative,-10,4.17,AVOID,High Risk,Low Priority,Negative overall investment signals; Negative financial signal balance; High leverage; Moderate growth; Negative cash-flow signals
AXISBANK,6,9,-3,Negative,High Leverage,Moderate Growth,Negative Cash Flow Signals,Negative,-10,4.17,AVOID,High Risk,Low Priority,Negative overall investment signals; Negative financial signal balance; High leverage; Moderate growth; Negative cash-flow signals
PFC,6,9,-3,Negative,High Leverage,Moderate Growth,Negative Cash Flow Signals,Negative,-10,4.17,AVOID,High Risk,Low Priority,Negative overall investment signals; Negative financial signal balance; High leverage; Moderate growth; Negative cash-flow signals
INDUSINDBK,5,8,-3,Negative,High Leverage,Moderate Growth,Negative Cash Flow Signals,Negative,-10,4.17,AVOID,High Risk,Low Priority,Negative overall investment signals; Negative financial signal balance; High leverage; Moderate growth; Negative cash-flow signals
